75000 135495
139 148 -345185105
128 149 980158920
82 150 -464023469
28 151 -825915653
125 152 423802425
149 153 -802550248
134 154 -464767271
19 155 177232329
102 156 -88188089
62 157 736226391
150 158 -300258990
100 159 -401895846
66 160 -880262227
152 161 658751388
89 162 238262634
37 163 -632702981
158 164 -669496224
144 165 278949431
83 166 -91113974
159 167 -149246284
144 168 -557701868
89 169 999689017
126 170 -980561234
94 171 -139539915
96 172 -38527561
77 173 -988875164
3 174 42034650
162 175 461406836
119 176 -762860226
89 177 -130765431
107 178 567714603
48 179 -539744794
5 180 -59485967
109 181 556892019
31 182 -525609836
164 183 -603398079
73 184 245988615
8 185 342997157
31 186 -357743772
26 187 -871877332
163 188 -366397002
65 189 598642420
103 190 -612354608
117 191 -456409112
40 192 739578476
184 193 -237555382
42 194 228687080
1 195 379617774
97 196 488156537
185 197 -320021957
175 198 11472882
57 199 484460673
168 200 188256123
90 201 877128338
201 202 -694039381
181 203 691230353
100 204 -704670344
105 205 -276107997
11 206 817526978
96 207 260924836
172 208 -794577312
188 209 -949551645
87 210 -817058188
4 211 -793503485
163 212 -862516387
150 213 -17247086
41 214 515276368
107 215 -109422596
165 216 -440375755
124 217 -228308793
179 218 299511990
1 219 237652775
170 220 -850026652
83 221 786000660
14 222 -144568576
23 223 -58628766
156 224 660575655
135 225 -883520214
9 226 -645290537
92 227 380443175
113 228 906384012
121 229 -439007058
192 230 -354551444
49 231 118707567
45 232 351221135
143 233 -6264
78 234 -49441745
76 235 572056593
93 236 -279264147
38 237 -364861740
133 238 651520558
179 239 -179394375
53 240 -990254759
152 241 -865154525
223 242 -182414949
102 243 -757212912
180 244 649286689
93 245 460639391
177 246 306528754
108 247 -750754123
93 248 232716449
199 249 406599103
77 250 48617180
189 251 -344075390
158 252 -521020590
9 253 278552955
65 254 -126600495
127 255 -529149236
173 256 466509080
28 257 476551837
137 258 -177909613
102 259 -864417262
52 260 -816453854
206 261 793159304
247 262 646874067
187 263 861304222
262 264 349647037
135 265 391277575
113 266 -349079327
190 267 902750197
209 268 890429572
163 269 204209719
200 270 245753713
32 271 -483364326
215 272 489358396
265 273 -261171859
112 274 132190326
120 275 -480742736
119 276 -866670207
87 277 633330036
21 278 -610126296
192 279 -249640782
188 280 -347117457
172 281 611541155
179 282 201050300
134 283 840328925
77 284 -916326254
52 285 889090460
174 286 352620074
242 287 -731330839
143 288 933985761
174 289 -508641315
118 290 195126983
287 291 -204746448
268 292 973381720
143 293 177385917
102 294 703084073
172 295 -612509695
198 296 983738372
116 297 635503477
32 298 91695200
6 299 123580164
175 300 -499557431
164 301 132344702
92 302 466437420
32 303 -388729535
168 304 -480733303
20 305 -348769592
54 306 748098638
143 307 -952429817
261 308 -125754859
262 309 214146677
124 310 989394257
164 311 -429387044
217 312 -180380102
248 313 -389546748
138 314 -292884773
37 315 -386936068
126 316 -865148658
191 317 281910955
193 318 -872798661
157 319 -580405371
243 320 401474867
14 321 160376024
62 322 -577667205
57 323 388591132
153 324 973870558
288 325 -246476809
274 326 -507855825
198 327 800867078
312 328 -529786364
7 329 -539161284
147 330 -422674554
113 331 914792588
307 332 827926762
46 333 -855730235
282 334 -737190109
114 335 -476377761
1 336 -725714093
24 337 -398898683
317 338 888000677
37 339 -711018205
2 340 -669612555
266 341 601168206
6 342 -256754491
284 343 -195577034
337 344 498711157
313 345 -804050577
155 346 810202812
233 347 -365686986
22 348 646015583
32 349 958787752
224 350 -825148704
71 351 -658346617
55 352 281530525
274 353 -550028730
102 354 -570995488
152 355 659283652
264 356 -750053943
262 357 -530580151
179 358 904569465
148 359 -57360476
306 360 654154611
298 361 14357463
299 362 456561482
162 363 472498120
281 364 122639534
12 365 114973750
228 366 623457165
5 367 -872697894
148 368 711193190
38 369 836830512
219 370 994871787
119 371 -273835014
262 372 -94926819
164 373 -843895938
342 374 98252794
321 375 -823354504
211 376 533834467
269 377 -94097065
73 378 28410487
81 379 417196364
359 380 -241670517
170 381 -866818410
305 382 -210654631
146 383 830510926
53 384 753284517
235 385 508096819
345 386 195952190
26 387 428546235
199 388 -644084089
282 389 184250214
158 390 434420076
51 391 -611422041
14 392 730949871
183 393 895877934
289 394 -636049371
177 395 -67186181
154 396 293779559
7 397 444573030
346 398 -227138695
312 399 -98866625
38 400 376385917
36 401 -678490453
15 402 416829401
214 403 -842687623
159 404 676563982
40 405 72307914
61 406 739744753
132 407 45815805
202 408 418966199
185 409 -773329120
383 410 306846068
219 411 -116472032
355 412 -77835639
206 413 2794719
214 414 282811419
210 415 -194784290
44 416 131891538
32 417 -100750272
279 418 -200048182
349 419 -895465295
300 420 -538563373
193 421 -458810183
226 422 -322102842
128 423 -649214002
189 424 -826080319
177 425 -469829843
359 426 -637535901
9 427 -739391551
377 428 -659186331
358 429 -547319964
100 430 81319512
193 431 165717743
375 432 777173757
203 433 150832925
99 434 -195525533
69 435 -646811778
409 436 -875274322
119 437 491523623
404 438 -551620856
372 439 464567947
201 440 -294502464
113 441 -574640969
360 442 -559602018
345 443 -350323403
329 444 -721954491
272 445 -16156370
23 446 -450116855
369 447 -848283944
391 448 -890755801
66 449 -729120522
423 450 -913675321
98 451 -395677302
168 452 -970680436
193 453 -727454718
453 454 -190840536
333 455 -393859806
14 456 -590446189
433 457 620206615
198 458 -992083295
109 459 930333700
217 460 -802146362
343 461 400466226
458 462 789491526
390 463 -813357562
36 464 233451610
361 465 863074927
115 466 -704972256
127 467 707298799
401 468 975764731
332 469 -999076301
207 470 28898977
297 471 -377981146
67 472 -849082135
116 473 505599020
384 474 62917077
234 475 724245499
178 476 -975520985
121 477 638663691
429 478 -955332384
424 479 572265676
309 480 913845631
363 481 -450802969
393 482 -672999610
210 483 -434901291
355 484 -863647375
148 485 -617754268
414 486 -819998153
121 487 776769063
195 488 717049773
397 489 641527010
169 490 -837783773
281 491 661836542
194 492 899070865
307 493 -457255567
67 494 -435267318
376 495 522702112
402 496 509799709
213 497 -500222157
7 498 -713193247
261 499 -855429337
339 500 -316043312
230 501 -975257773
63 502 108511102
146 503 44606523
192 504 -690360009
262 505 -899766803
469 506 111246431
450 507 275693776
49 508 671146514
410 509 466805185
275 510 82797112
81 511 996960359
131 512 56636166
9 513 -69682968
466 514 766647894
382 515 -193847926
206 516 -687767769
166 517 -958676309
22 518 689685684
465 519 -503053654
489 520 488722484
291 521 -514309253
189 522 333337358
254 523 -974368343
163 524 268929756
16 525 -567767755
242 526 -226871082
300 527 -281854676
352 528 525135515
526 529 -740500503
434 530 5748917
1 531 -221985947
296 532 440157237
81 533 832244581
8 534 -212540314
2 535 880867169
168 536 536337803
167 537 -662464766
453 538 724705824
397 539 -93289415
275 540 -815231709
27 541 -814772878
526 542 -866665933
475 543 -591704371
401 544 -455648968
45 545 246620600
463 546 472995631
525 547 -664924423
270 548 -547490812
17 549 -180909661
470 550 -604706142
378 551 -455615804
123 552 -672960544
43 553 180940094
494 554 -726797706
247 555 -709615106
283 556 325227295
555 557 -760308206
155 558 84441201
537 559 333647897
191 560 49299754
39 561 -232803887
294 562 186446532
23 563 239166220
434 564 -185192564
479 565 -100392648
96 566 -280469640
392 567 -295752701
331 568 286941778
391 569 946103080
234 570 124426816
134 571 554730682
291 572 -77272920
148 573 -285312696
361 574 336078894
466 575 -749354725
97 576 -297561768
22 577 -92725383
536 578 -207562498
184 579 481540377
510 580 448554065
304 581 88326193
429 582 -698041820
212 583 148321843
368 584 819110191
115 585 999334016
385 586 -859260228
344 587 382216313
273 588 -649609156
196 589 -488421783
396 590 710908602
446 591 324319964
583 592 778422485
258 593 862288750
257 594 327005016
272 595 518428648
86 596 988811327
567 597 632895394
79 598 909645373
408 599 -467090764
405 600 -823871531
16 601 446578081
248 602 -69966961
117 603 -177222043
231 604 984491244
589 605 -766876313
550 606 -145410076
425 607 -101323051
193 608 354977215
266 609 -539096633
542 610 -578681564
103 611 -166455648
529 612 263640657
126 613 -704260397
141 614 579253607
513 615 5503970
239 616 -586357504
439 617 804882988
532 618 -932097538
484 619 311553864
532 620 169381671
531 621 52646356
342 622 -465421381
104 623 -639822096
336 624 -728870087
419 625 306344873
245 626 884638769
508 627 82942401
84 628 927511136
471 629 73796713
496 630 -184804574
177 631 848817886
66 632 -595338016
127 633 963862806
613 634 -290041698
492 635 -225552886
559 636 191231302
423 637 -169413248
6 638 637229678
261 639 -602307594
200 640 754353801
264 641 -960140677
132 642 997379015
15 643 -711624580
338 644 694942230
496 645 -412259588
204 646 -98138998
443 647 -640095270
288 648 -674244321
433 649 -913892861
434 650 -596968002
392 651 -983224632
89 652 113704919
248 653 684438930
498 654 569017313
165 655 -340841361
539 656 33105174
620 657 -642069744
275 658 277574072
150 659 -369108246
68 660 883452511
134 661 869267557
325 662 673780347
197 663 106480775
166 664 -601683999
311 665 933475539
251 666 -411012648
629 667 -844520031
359 668 422245811
298 669 -546471123
452 670 462785835
305 671 49454612
489 672 84559358
304 673 -715416168
151 674 -515897571
371 675 -764475198
409 676 729556144
267 677 344250535
264 678 622183604
586 679 742019658
363 680 658714402
501 681 -386223178
514 682 -8722036
379 683 -258898461
383 684 -950737358
371 685 -466124923
677 686 -576984696
462 687 -832985339
572 688 467355706
166 689 -858916757
187 690 754485485
257 691 -793514975
418 692 697165480
33 693 406796679
689 694 154722593
345 695 -74901396
536 696 -764012932
579 697 -932598239
83 698 198083124
588 699 -193980883
616 700 293030267
470 701 -646660724
292 702 -505262394
209 703 551502472
580 704 816103675
300 705 -76942531
25 706 262579047
587 707 565502772
359 708 555683427
703 709 388520044
392 710 -237535071
335 711 -756147993
92 712 52015303
309 713 334648609
442 714 876144303
348 715 348402682
500 716 118473675
585 717 92986736
402 718 905083103
698 719 -505263108
404 720 -248911131
376 721 -191371003
265 722 283557059
668 723 440085409
651 724 -626608226
223 725 -912837124
723 726 -975472207
126 727 -218577968
716 728 -890311376
350 729 -559162563
258 730 794745848
521 731 -896097930
442 732 743694856
725 733 485649992
697 734 -811662552
118 735 774742127
47 736 -378119581
214 737 925759153
564 738 -70815239
124 739 495230467
219 740 -333747325
574 741 -86178831
228 742 603269859
531 743 964941271
206 744 -374660229
75 745 71957556
427 746 454377691
269 747 -416112878
496 748 -347453162
348 749 938612689
672 750 -698941473
198 751 -602314455
244 752 178310930
208 753 49138629
650 754 -655496952
106 755 272798458
2 756 -209242351
553 757 751825741
266 758 506445355
719 759 819887407
488 760 98374202
660 761 -784710507
528 762 937007680
665 763 991348834
259 764 618891763
307 765 -680099698
302 766 665651923
620 767 -646894506
96 768 154446784
711 769 521703565
731 770 -34190988
506 771 681751471
146 772 610831835
230 773 -786512331
458 774 791783280
472 775 -321379527
98 776 609475433
98 777 -973891718
554 778 779555215
339 779 -3777388
208 780 208388611
590 781 -281119430
655 782 421580626
386 783 -669887490
249 784 -381184982
766 785 891329863
231 786 455200795
8 787 201893058
372 788 -739555497
133 789 -635632372
281 790 447874843
329 791 -446032029
670 792 -156148095
479 793 -482351308
242 794 679697268
777 795 403149720
555 796 899138845
757 797 947512847
542 798 -553106902
83 799 -271871111
739 800 -558954185
324 801 -902289127
157 802 -238324810
531 803 70909383
644 804 -734388641
294 805 675011381
121 806 -146430941
296 807 848137334
274 808 -285224769
244 809 927870235
806 810 985109350
112 811 194519876
542 812 -574135847
180 813 -601268975
100 814 -974713873
268 815 702687043
473 816 -612997110
536 817 762943487
497 818 129897144
598 819 49143661
578 820 845595140
295 821 394499616
723 822 333411029
182 823 -291754658
344 824 -907697547
550 825 -653560813
327 826 -877448493
50 827 682929312
580 828 878602992
245 829 -146518125
213 830 22114547
122 831 480160577
458 832 -160177271
279 833 36532735
569 834 540104602
749 835 -150029219
340 836 188208443
170 837 -265694733
738 838 394568939
360 839 -687227676
160 840 -510843792
684 841 -299756024
741 842 14155698
429 843 103235232
810 844 -123680858
201 845 -775560683
713 846 -616340456
462 847 32211257
627 848 -550547700
675 849 588492937
399 850 927160562
451 851 -823406437
470 852 -365089860
429 853 253197393
48 854 316508979
474 855 -180486290
501 856 -917540422
592 857 -154231427
790 858 -319910878
660 859 393989502
516 860 -959187263
745 861 794252848
392 862 438242325
670 863 881508948
103 864 463888006
488 865 -605300273
348 866 -313937304
15 867 -266453364
772 868 -929431189
260 869 720794791
715 870 -569560340
468 871 -150141251
399 872 17438689
713 873 -997681679
462 874 851633560
787 875 818177681
276 876 663623122
30 877 887523827
266 878 -157029823
412 879 -793050961
472 880 636405911
616 881 -614058653
701 882 -958973675
95 883 -354149405
114 884 283854520
495 885 -53285953
702 886 -314070761
493 887 457340896
339 888 -604652224
588 889 -378458422
8 890 -296352761
870 891 399350063
156 892 894463913
507 893 374207106
389 894 -867836118
202 895 -826211535
384 896 924248722
425 897 -769774939
242 898 -639123023
490 899 148845279
12 900 -583680886
197 901 365137731
852 902 562942474
192 903 738011253
332 904 292440094
817 905 -73297222
870 906 -457770246
636 907 -10006149
109 908 -130005477
429 909 12107855
158 910 674183341
726 911 -526936504
116 912 -63904336
755 913 472404142
883 914 -612418135
859 915 867736160
40 916 -999252281
703 917 -514753110
688 918 -822526752
180 919 -311173212
236 920 -151431158
781 921 -874760029
309 922 -635969130
784 923 298307070
810 924 227883725
838 925 -276636226
784 926 -28341445
107 927 -904110507
273 928 466289771
722 929 -382167901
483 930 -963083955
493 931 157405831
263 932 632546966
370 933 -532090138
128 934 -584285779
644 935 -177678612
198 936 406446850
305 937 842751950
593 938 -350403268
861 939 675586747
749 940 -946109427
86 941 -151701244
554 942 176962264
414 943 -483656625
677 944 112253325
420 945 853276888
895 946 -483658545
94 947 -160808896
113 948 450857070
509 949 -416142481
253 950 -175746395
211 951 -617512183
86 952 -629612477
718 953 203879432
835 954 516455713
822 955 -671728990
594 956 221098546
192 957 253187882
730 958 571055560
457 959 132853187
115 960 -930927365
571 961 808641415
303 962 61384194
498 963 -763220658
449 964 -671552164
38 965 993596517
660 966 778444458
321 967 -784417634
806 968 -558059252
872 969 625663115
722 970 550536691
127 971 -979312772
882 972 425832590
846 973 530576166
27 974 693451181
71 975 -431689204
428 976 -161754338
886 977 -964843923
315 978 589627253
262 979 -524614436
174 980 524247675
446 981 513736143
6 982 -994400141
730 983 49341298
149 984 335491359
629 985 -362342581
14 986 233933210
485 987 -185834010
566 988 107297219
783 989 792565473
238 990 -397296962
434 991 945770645
335 992 309298504
290 993 8371894
150 994 -902742347
364 995 238239679
60 996 473700054
649 997 392236634
370 998 508619607
704 999 -588555315
194 1000 -236686809
709 1001 309926938
188 1002 -492796970
205 1003 665023737
977 1004 -570046123
413 1005 -719778860
428 1006 -920053006
110 1007 -481008710
767 1008 98886549
842 1009 -722191911
487 1010 852461598
35 1011 -693361825
796 1012 799672173
965 1013 -340174160
284 1014 363668413
216 1015 -257143921
726 1016 -574337281
811 1017 168383514
148 1018 256755725
672 1019 -87191733
99 1020 432650077
651 1021 807221535
147 1022 -86073414
422 1023 -564898995
440 1024 791643876
936 1025 229577801
156 1026 -648803567
758 1027 -646503628
15 1028 -977367658
802 1029 -378546272
459 1030 375456268
335 1031 -104370895
856 1032 327019336
384 1033 -948544730
772 1034 951022139
981 1035 -786881631
327 1036 -38769706
788 1037 -869424488
562 1038 519479587
944 1039 897607261
418 1040 26654140
459 1041 -581840754
844 1042 -163776552
738 1043 -423256788
784 1044 645016226
942 1045 -367801905
76 1046 -155902889
679 1047 394930656
866 1048 -317222096
557 1049 403043924
759 1050 69012220
559 1051 450214915
667 1052 -399652425
224 1053 -271307542
382 1054 -716162790
26 1055 970293940
735 1056 -654533634
544 1057 908771408
569 1058 947632950
962 1059 813314914
981 1060 -573296245
504 1061 435957076
613 1062 -934298460
636 1063 -78137168
49 1064 949292896
828 1065 -533678102
999 1066 316780389
287 1067 638313132
247 1068 926772407
174 1069 157190115
596 1070 764911996
1008 1071 -426886348
272 1072 809713772
847 1073 673103218
635 1074 -623546958
347 1075 476400047
199 1076 463149294
610 1077 796298845
471 1078 -786582988
399 1079 -592501484
41 1080 617169801
664 1081 -609624675
986 1082 -372799563
313 1083 891402344
28 1084 610381435
867 1085 -125769131
665 1086 -150594766
1023 1087 957321147
460 1088 -323807748
396 1089 846696983
567 1090 799767857
178 1091 257136632
666 1092 346445934
76 1093 -245455464
98 1094 -631840637
374 1095 751421706
606 1096 -662482694
692 1097 -739024372
56 1098 -814857458
678 1099 564969593
824 1100 -80911403
988 1101 89525386
626 1102 985297354
14 1103 -245649777
257 1104 -285297222
157 1105 955751932
197 1106 -8051334
278 1107 -583623192
974 1108 -179740261
411 1109 762314140
604 1110 -121705221
372 1111 -994918289
502 1112 -971851642
450 1113 572922360
469 1114 945504461
253 1115 514028430
680 1116 481032881
632 1117 -442901436
770 1118 -907927668
835 1119 502257384
494 1120 -748977242
389 1121 -610723698
225 1122 753033676
320 1123 -875946263
336 1124 -327287732
981 1125 223237916
1109 1126 20802799
421 1127 -539056114
769 1128 -407619080
261 1129 392917932
457 1130 -846282895
286 1131 579068513
937 1132 -537100750
17 1133 904883133
1011 1134 -939378601
24 1135 825630054
121 1136 -784630558
300 1137 -924747714
1072 1138 -497417658
479 1139 871778902
987 1140 -373925697
410 1141 -151245808
64 1142 -546346968
950 1143 54631046
1127 1144 -339322487
794 1145 -730006178
39 1146 -782669416
891 1147 658490501
422 1148 673219660
1018 1149 479189418
400 1150 -801491604
648 1151 -768158840
227 1152 936482995
1029 1153 543048081
706 1154 -614787248
159 1155 106087104
858 1156 687806169
660 1157 490430996
721 1158 217659061
942 1159 -829722161
410 1160 715477929
850 1161 -830627924
986 1162 344920229
827 1163 407137053
781 1164 -499514858
555 1165 -825369400
959 1166 -873344484
448 1167 -287604034
918 1168 699186696
152 1169 -96360928
838 1170 61886677
1038 1171 51255992
198 1172 -388115855
1128 1173 -577360558
1112 1174 443477156
1161 1175 284640646
329 1176 614355857
902 1177 -427349309
1176 1178 -924777920
210 1179 -829727066
1023 1180 670902638
34 1181 209249295
210 1182 91663177
1113 1183 -208263191
10 1184 -487716243
112 1185 792822468
450 1186 -948148601
87 1187 254565759
939 1188 -677236121
1029 1189 -358910671
849 1190 -133655483
670 1191 433094775
36 1192 -410715510
307 1193 483056670
126 1194 825511293
806 1195 -355796300
256 1196 -12176110
273 1197 807670491
395 1198 447928766
313 1199 577005023
1121 1200 390862694
415 1201 701978361
1007 1202 -476394060
1136 1203 -740386105
185 1204 -454415948
462 1205 -818031053
719 1206 432333544
780 1207 817320449
677 1208 918614294
613 1209 690349685
128 1210 857289073
471 1211 -869034878
218 1212 -145381063
692 1213 -628444777
321 1214 749849639
474 1215 -448111045
646 1216 -930758000
1001 1217 -330927179
852 1218 -362589253
601 1219 374394749
450 1220 -590303553
577 1221 571666199
506 1222 500831704
397 1223 630543426
390 1224 -612554571
871 1225 814559828
328 1226 89792382
898 1227 -987201937
799 1228 723274245
829 1229 -678980093
1207 1230 304721102
730 1231 331105569
742 1232 71960260
89 1233 -636226133
1224 1234 -500160568
183 1235 473430139
307 1236 298338322
968 1237 891158978
808 1238 -874909949
253 1239 312511313
982 1240 -133580345
345 1241 -131510978
1183 1242 -214749091
689 1243 -361242364
346 1244 -38335047
739 1245 906467779
1062 1246 -246259558
308 1247 473999365
792 1248 352795935
362 1249 395683135
650 1250 -533586769
270 1251 956012779
545 1252 -764726831
403 1253 851614353
531 1254 469145874
782 1255 287033823
1150 1256 84471855
1207 1257 -998269018
609 1258 510145912
59 1259 289217385
255 1260 -421168370
860 1261 -650650669
864 1262 998549251
29 1263 780921043
1237 1264 -547336952
229 1265 -36506172
1253 1266 411904986
882 1267 837922176
221 1268 467046711
1234 1269 987908426
341 1270 855773425
861 1271 -956351605
303 1272 886216264
448 1273 -285469181
918 1274 -989343596
1161 1275 -721605907
267 1276 485020089
652 1277 -552992890
948 1278 769515079
876 1279 255658753
337 1280 -496752666
184 1281 -70516826
1022 1282 684326509
632 1283 171939463
1138 1284 -402903074
3 1285 11273576
45 1286 423371065
1164 1287 -744882258
320 1288 112036000
878 1289 -145102562
678 1290 -889798485
941 1291 296291231
1275 1292 -613291276
1045 1293 -279070578
691 1294 -497902753
849 1295 -649332149
976 1296 772538237
107 1297 196496172
265 1298 -175314056
17 1299 -429938635
653 1300 644973960
64 1301 793441624
18 1302 -691098765
449 1303 815358516
701 1304 -746334168
1201 1305 -582811695
363 1306 -31732233
1172 1307 817448147
407 1308 -475077512
603 1309 143594187
747 1310 -640318706
68 1311 -978400295
431 1312 -531256720
85 1313 919369296
1114 1314 99775811
354 1315 -714973168
457 1316 -393004698
652 1317 372139023
644 1318 540272378
331 1319 -68485963
69 1320 -511415599
231 1321 -560024076
399 1322 116209112
160 1323 -869754264
517 1324 -146558859
313 1325 31569418
125 1326 124893554
520 1327 405062950
563 1328 461108730
131 1329 -602049599
768 1330 210656583
605 1331 -58597381
314 1332 -482252170
843 1333 65361009
717 1334 -768718970
709 1335 638185564
633 1336 360341444
276 1337 821703245
596 1338 -483614078
956 1339 -147718526
674 1340 357399266
540 1341 -160752378
619 1342 -880110807
849 1343 -591218635
1064 1344 -866759126
1231 1345 55816788
1098 1346 31971060
68 1347 291756727
895 1348 -74544407
1329 1349 -173953950
799 1350 210268725
933 1351 657972675
1016 1352 147238539
703 1353 -116450231
417 1354 215999350
206 1355 343241188
1260 1356 91242031
739 1357 418756354
1185 1358 391478920
1302 1359 -104982613
617 1360 317804606
856 1361 19466191
142 1362 897912412
641 1363 -988341931
1134 1364 -19978806
119 1365 234923745
1190 1366 419326438
755 1367 -383375893
304 1368 -16752984
124 1369 -618797852
623 1370 -550482655
819 1371 -201516086
658 1372 -398893555
223 1373 -294321748
481 1374 -713100049
1348 1375 758943147
689 1376 -499994759
119 1377 -582440557
567 1378 275300320
325 1379 -939802343
123 1380 -916371955
719 1381 140591001
1266 1382 329238465
741 1383 -238700922
68 1384 123300322
514 1385 -931956849
1015 1386 10723
601 1387 -739999748
1239 1388 -2384282
220 1389 298432459
634 1390 -747614202
323 1391 192383265
699 1392 27691797
357 1393 -39318709
53 1394 -835994431
1062 1395 895408115
231 1396 621361870
329 1397 8551710
1075 1398 -591104207
1082 1399 -809970150
24 1400 -283020645
1084 1401 63196794
700 1402 2962462
516 1403 -462349621
701 1404 -530193671
138 1405 -227190495
693 1406 941182333
87 1407 -18248976
409 1408 -400626843
1357 1409 624451498
1226 1410 889086203
1190 1411 -893847474
13 1412 654862904
862 1413 884942537
1257 1414 -841792761
206 1415 820184233
712 1416 866695130
839 1417 343137363
623 1418 920963918
561 1419 -492904385
99 1420 -953280879
1040 1421 -384346878
966 1422 649353993
1130 1423 21623394
1220 1424 89257383
622 1425 -958034804
400 1426 -390137753
954 1427 356612719
171 1428 935292205
1017 1429 -412798124
486 1430 -357806872
1036 1431 -689303037
438 1432 -531906323
1346 1433 504961074
1339 1434 -67306914
384 1435 810034271
466 1436 6961662
1040 1437 -874413497
1272 1438 -703190605
175 1439 925613851
1137 1440 288738460
1073 1441 79926556
767 1442 898209852
87 1443 389793673
620 1444 -98485394
94 1445 -802090659
1381 1446 -527823181
62 1447 -697267544
1048 1448 559446485
133 1449 -705932124
1154 1450 -221047815
80 1451 149905036
1204 1452 76373459
740 1453 -663715127
1062 1454 814128462
428 1455 -561687953
238 1456 -899459781
547 1457 -803518652
450 1458 228332403
47 1459 -944647759
283 1460 -388085412
674 1461 -887304602
983 1462 618532102
426 1463 559520098
1128 1464 -180544040
938 1465 -122536774
393 1466 562573127
976 1467 -333822439
286 1468 713128295
421 1469 249863250
159 1470 93709421
1156 1471 -377115088
1234 1472 -718465900
1330 1473 57497400
59 1474 -87915560
982 1475 -796198825
176 1476 -184131373
231 1477 157191061
151 1478 -393912481
1038 1479 -468498282
92 1480 -404053324
1114 1481 545109454
642 1482 -97025772
309 1483 265772538
199 1484 732749969
524 1485 -298991225
8 1486 410776321
1309 1487 -905943801
11 1488 -504785422
231 1489 683756129
930 1490 -428349298
489 1491 -202720603
874 1492 -854419597
911 1493 7890075
498 1494 958278020
1315 1495 -801291433
1088 1496 924789356
249 1497 -862412661
1116 1498 -33633632
556 1499 344704419
1322 1500 651428759
27 1501 904504062
1340 1502 235802353
637 1503 664527035
912 1504 777522019
1236 1505 565063903
763 1506 295037074
327 1507 560768740
749 1508 673605110
64 1509 173366913
1182 1510 -312801874
17 1511 162070782
497 1512 48754090
229 1513 868738887
593 1514 -534726299
436 1515 -244181299
1132 1516 464877917
151 1517 179011448
94 1518 929807503
578 1519 869867333
919 1520 869483534
1287 1521 196678329
584 1522 875739494
1054 1523 70639242
1124 1524 498602790
1236 1525 557720389
535 1526 836093390
11 1527 514788136
926 1528 425577059
974 1529 238916668
856 1530 771334399
18 1531 211374005
256 1532 346420686
61 1533 -48896731
1526 1534 387950832
1392 1535 -924255925
1055 1536 -562507702
1187 1537 -841043661
190 1538 393782652
569 1539 -97695852
413 1540 -897317837
824 1541 -270926087
728 1542 595100144
1289 1543 663195533
1071 1544 470994756
259 1545 799333588
958 1546 -567102354
1234 1547 818027891
1427 1548 272650947
909 1549 -851750740
1492 1550 -901768321
1351 1551 -102133503
967 1552 8087797
1455 1553 -212983193
777 1554 -832988952
1401 1555 930116648
1498 1556 456515625
1226 1557 504620613
814 1558 762889287
829 1559 555837836
1079 1560 -544175415
861 1561 64881398
275 1562 -306600962
1413 1563 -950785104
1533 1564 -169487889
556 1565 970844092
1238 1566 -605729092
608 1567 749317751
